deployment,dive_start,feeding_start,feeding_end,dive_end,dive_start_timestamp,descent_time,feeding_time,ascent_time,dive_time,stroke_frequency_feeding,avg_feeding_depth,avg_feeding_speed,max_dive_depth,pitch_excursion,roll_excursion,heading_excursion,depth_excursion,dist_total,dist_feeding,staightline_dist_feeding,tortuosity_feeding,avg_pitch_feeding,max_roll_feeding,time_between_dives,observed_feeding
ea230116-P47,13777,13829,14215,14309,2023-01-16 12:26:29,5.2,38.6,9.4,53.2,0.181347150259067,4.02638658005876,1.12898702298404,4.66658067521172,23.2053399316416,5.69093971382392,9.66355930849227,1.38357117223124,63.4296813989192,44.0449206923959,43.210460453313,0.0189456633356369,-4.2485300108768,7.73373182922643,0.2,y
ea230116-P47,14311,14373,14539,14598,2023-01-16 12:27:23,6.2,16.6,5.9,28.7,0.150602409638554,4.0372063296966,1.25223684564691,4.42861115788067,28.7981088902192,7.19242355654119,10.2952847842628,1.47035304132003,38.7365762233486,20.9589041388131,20.5425870808098,0.0198634935894547,-0.841645792088828,8.26813527526838,0,n
ea230116-P47,14598,14649,15768,15815,2023-01-16 12:27:51,5.1,111.9,4.7,121.7,0.183199285075961,4.15569536590319,1.21026273551014,5.04673102495045,36.1810024572237,15.3894010018774,79.6898132534466,2.24933843007177,151.096468698189,136.824225528948,130.900345343512,0.0432955506419621,-3.83449318245014,9.04543306490092,0,y
ea230116-P47,15815,15860,16837,16896,2023-01-16 12:29:53,4.5,97.7,5.9,108.1,0.174002047082907,5.16529094207125,1.06436299121796,6.34613478484216,46.2677928596834,88.091587000036,140.058149389337,3.16609863573483,122.734588859041,105.057506868899,79.7556180635648,0.240838466087992,-6.24908870232421,75.022348698808,27.5,y
ea230116-P47,17171,17246,17907,18021,2023-01-16 12:32:09,7.5,66.1,11.4,85,0.158850226928896,6.02694971919132,1.02378496175105,7.24061745347434,29.7385746550434,20.3340301593834,44.7504195597887,2.41076308835803,93.9806392453272,68.3435621311309,65.1709409187225,0.0464216542638066,-5.87054034632926,12.2641041828513,20.5,n
ea230116-P47,18226,18272,18503,18559,2023-01-16 12:33:54,4.6,23.1,5.6,33.3,0.12987012987013,4.62203162222933,1.05103188398959,5.54149446729695,63.6111135477211,64.5297677454235,180.490049064336,1.86037472848299,37.3063445601851,23.2115305382983,14.379647264966,0.380495515311237,-15.2979867845615,34.4806380050986,13.7,n
ea230116-P47,18696,18759,20061,20104,2023-01-16 12:34:41,6.3,130.2,4.3,140.8,0.153609831029186,5.0580095791269,1.04907908764762,6.29400812075443,50.8967633086033,26.4427091738982,82.4221328861399,2.50804780329087,153.438579924244,138.432482318115,124.666413218543,0.0994424781601329,-5.47437445084863,16.6084624195246,44.5,y
ea230116-P47,20549,20629,22457,22527,2023-01-16 12:37:46,8,182.8,7,197.8,0.185995623632385,5.49126227186033,1.10194426872524,6.99644417006124,30.607388752568,48.0988739460223,56.7123800580087,2.96386909087279,222.88746664109,202.870347550229,192.634462093054,0.050455305966489,-5.16015568208692,41.9765504534392,26.4,n
ea230116-P47,22791,22889,23292,23380,2023-01-16 12:41:31,9.8,40.3,8.8,58.9,0.173697270471464,5.47414844457285,1.09188484173156,6.04552335865594,26.0115124150664,70.0917443420769,70.5894709959098,1.18118199305954,69.3504166424871,43.4018631932921,40.2152267583775,0.0734216506034022,-11.1320955075522,74.7125844923224,11.6,n
ea230116-P47,23496,23574,24154,24229,2023-01-16 12:42:41,7.8,58,7.5,73.3,0.163793103448276,4.69163721059643,1.07413819393958,5.62703468569979,27.8099455932576,85.3933466891586,40.7301669787767,1.53417941117025,81.2911362746835,62.0647441867713,60.6291685076638,0.0231302923731939,-8.61232938264205,70.4790517680789,27.5,y
ea230116-P47,24504,24594,25686,25776,2023-01-16 12:44:22,9,109.2,9,127.2,0.169413919413919,5.27766868178186,1.06740625596248,6.01773445381181,30.1967084178456,65.6165253411452,51.2342911846873,1.75801388514007,141.693657708625,118.195244062694,113.411903939448,0.0404698189100522,-3.4535230525407,65.3153347938595,19.3,y
ea230116-P47,25969,26051,26611,26675,2023-01-16 12:46:48,8.2,56,6.4,70.6,0.169642857142857,5.04267282179127,1.03693949238849,5.62620286696394,27.6138543743331,74.6461804034246,25.874989382005,1.33343700810786,77.0556497245928,57.0478387942732,56.1856489682548,0.0151134529237414,-11.8940217767975,76.7735310408086,20.4,n
ea230116-P47,26879,26971,27875,27949,2023-01-16 12:48:19,9.2,90.4,7.4,107,0.154867256637168,5.61360868793629,1.07863642001332,6.55855314488714,41.6153588072487,88.6087552891793,152.333428788094,2.39784547596392,120.53875521629,98.1243372123131,85.3535488249376,0.130149041004407,-3.6198595309002,61.4092038858492,9.4,y
ea230116-P47,28043,28133,28808,28904,2023-01-16 12:50:16,9,67.5,9.6,86.1,0.185185185185185,6.05799952319578,1.08314508736161,6.86031075830906,29.406513942437,156.842425344952,76.7240065031105,1.86543086693616,96.1252560727036,72.9089563347146,69.1251044527792,0.0518983136250681,-5.29223329170068,79.2382461443264,2.9,n
ea230116-P47,28933,29001,29282,29341,2023-01-16 12:51:45,6.8,28.1,5.9,40.8,0.124555160142349,4.79829609860886,1.05263948199321,5.58208036840921,39.6220784733718,7.48827197037726,13.7806718323088,1.43472587145709,47.3371272680433,30.1079162723607,29.0861756830628,0.0339359449539812,-3.52921203044193,8.14513058259603,0,y
ea230116-P47,29341,29410,30065,30138,2023-01-16 12:52:26,6.9,65.5,7.3,79.7,0.16030534351145,4.45215439140403,1.09782280589339,5.26226722430762,30.1796290516725,10.3560129050974,19.9920588019871,1.49902584334503,90.9865387755076,72.5717039175939,70.8613372439057,0.0235679552960517,-4.57357947556636,6.20090502717879,2,n
ea230116-P47,30158,30228,30927,30988,2023-01-16 12:53:47,7,69.9,6.1,83,0.1931330472103,4.72451871621292,1.11857887385959,5.36349313647398,31.0014660990577,6.26492543634233,11.5060029547055,1.26485767616459,96.838942523826,78.8056457663754,77.4518592119504,0.0171788016107166,-4.11222861600179,4.87514441962817,0,y
ea230116-P47,30988,31063,31266,31327,2023-01-16 12:55:10,7.5,20.3,6.1,33.9,0.172413793103448,4.46575530173807,1.12298572473904,5.14903803527281,31.9239161093117,9.91621123350892,16.6852730147984,1.54928700568089,41.0887356562007,23.1431161192316,22.4392811928977,0.0304122799500212,-4.64229321523702,6.28314627159798,0,y
