deployment,dive_start,feeding_start,feeding_end,dive_end,dive_start_timestamp,descent_time,feeding_time,ascent_time,dive_time,stroke_frequency_feeding,avg_feeding_depth,avg_feeding_speed,max_dive_depth,pitch_excursion,roll_excursion,heading_excursion,depth_excursion,dist_total,dist_feeding,staightline_dist_feeding,tortuosity_feeding,avg_pitch_feeding,max_roll_feeding,time_between_dives,observed_feeding,dive_type,year
ea230116-P47,3467,3511,3762,3818,2023-01-16 12:09:18,4.4,25.1,5.6,35.1,0.159362549800797,2.26183617569505,1.67920601775133,3.63776593701576,53.9003904957222,46.3176205701996,147.152360586208,3.04759629424826,59.2885650644628,42.2292955184979,29.0934112097822,0.311060938796901,-11.8850657126709,50.3868495795509,12.4,y,s,2023
ea230116-P47,3942,4017,4237,4266,2023-01-16 12:10:06,7.5,22,2.9,32.4,0.181818181818182,2.7292891852594,1.27603513356156,3.46597456710001,46.7252349411838,19.0205417613445,304.765046418738,1.89676436772044,39.4112713266395,27.0198477244856,15.5125608240916,0.425882744334121,-16.1318677388261,14.2746733086598,0,n,s,2023
ea230116-P47,4266,4335,4586,4674,2023-01-16 12:10:38,6.9,25.1,8.8,40.8,0.199203187250996,2.36473210500459,1.4701514692121,3.11119986307805,38.4751964535849,21.9490223419568,273.012476760039,1.60794299101512,58.2251348761561,36.1502261572041,15.099458741986,0.582313574572839,-12.4971227092659,13.5726476481055,0,n,s,2023
ea230116-P47,4674,4730,4944,5015,2023-01-16 12:11:19,5.6,21.4,7.1,34.1,0.163551401869159,1.74004838690506,1.39277735693179,2.35628368376132,28.0041663224418,9.28567819444875,28.4557488506744,1.10230004522797,48.2081946101345,29.5788305644261,28.9605630454412,0.0209023652114414,-8.67648709716536,6.19376904811796,0,n,s,2023
ea230116-P47,5015,5041,5662,5735,2023-01-16 12:11:53,2.6,62.1,7.3,72,0.144927536231884,6.24391559667702,1.24930409371604,8.53028010376805,39.2159995616059,13.5700509485294,36.5528571390509,6.73564016124886,92.1337768718294,78.3844442907096,75.7666657921554,0.0333966582558847,-4.34763747484458,8.24755296527326,32.1,n,u,2023
ea230116-P47,6056,6133,7174,7245,2023-01-16 12:13:37,7.7,104.1,7.1,118.9,0.153698366954851,5.99083204484884,0.998711834590641,7.5706198353286,33.7964636221384,83.595959475498,357.61308237523,3.20817289841179,125.315876875702,104.295930315088,66.8494280811472,0.359040876483017,-6.73618327341329,80.1724348133284,0,y,u,2023
ea230116-P47,7245,7311,8054,8128,2023-01-16 12:15:36,6.6,74.3,7.4,88.3,0.168236877523553,5.90721269387835,1.04549310777089,7.77115493588132,27.9563571554536,10.7529893806763,28.2838623129426,3.57160058095503,98.2423587762685,78.4516874688503,76.3336741574026,0.0269976769115216,-4.78060826263955,9.81464944257524,1.3,n,u,2023
ea230116-P47,8141,8225,8649,8726,2023-01-16 12:17:06,8.4,42.4,7.7,58.5,0.165094339622642,5.43044322323363,1.07262744431969,5.98723007673596,22.7707981576184,6.35089869268316,8.14285038622683,1.42843175538875,66.8017690990195,45.8771363113946,45.083797072112,0.01729269311619,-3.83889118793986,4.6718701414195,0,n,u,2023
ea230116-P47,8726,8810,9091,9194,2023-01-16 12:18:04,8.4,28.1,10.3,46.8,0.160142348754448,5.24457388865189,1.11496087585891,5.60482978466589,22.0096757161548,4.0133592656078,22.5779744440939,0.84462381603359,55.2792905654633,31.5736492456827,30.9356155591884,0.0202077904118604,-4.28900363330548,3.90967954536639,44.9,n,u,2023
ea230116-P47,9643,9693,11321,11390,2023-01-16 12:19:36,5,162.8,6.9,174.7,0.175061425061425,5.93797155730828,1.07779211434412,8.39208630887974,42.8968926608883,9.84328382925636,23.9103915740725,4.70307966762567,195.098748885909,178.052851210144,172.89015782943,0.0289952862064573,-3.5252765533216,7.58191580626939,0,y,u,2023
ea230116-P47,11390,11447,11641,11706,2023-01-16 12:22:31,5.7,19.4,6.5,31.6,0.206185567010309,6.05488824589395,1.16072136715613,6.99637588892184,52.6075283753589,5.58291109118774,10.2866738316075,3.23581103560765,42.615354553269,23.5316002697789,21.983823920595,0.0657743770691055,-3.542473973865,5.32540100125226,30.3,y,u,2023
ea230116-P47,12009,12082,12476,12559,2023-01-16 12:23:32,7.3,39.4,8.3,55,0.190355329949239,5.44040873411027,1.10363101884734,5.97892532359731,21.7833776956716,5.39451975203004,10.1120033547999,1.5399169620904,66.3531611213546,44.0308448698914,43.1967702995943,0.0189429608439643,-2.36956212086544,4.98709031733436,0,y,u,2023
ea230116-P47,12559,12614,12895,12976,2023-01-16 12:24:27,5.5,28.1,8.1,41.7,0.142348754448399,4.9516458027989,1.17978213912586,5.75977855017232,29.228543009527,6.36322899245985,11.6901433110386,1.78616118657194,53.9158326443344,33.8528815735811,32.7572789754344,0.0323636437201157,-2.51658083691386,5.20639786155762,0,n,u,2023
ea230116-P47,12976,13034,13152,13216,2023-01-16 12:25:09,5.8,11.8,6.4,24,0.169491525423729,4.54980788947384,1.37554100728779,5.28581259927099,28.3657168523387,3.47225313244979,9.09819474322717,1.56797456662376,35.081826569729,16.4278750016704,16.024332445107,0.0245645012834829,-2.36243940575643,2.56562436694369,1.7,n,u,2023
ea230116-P47,13233,13295,13716,13777,2023-01-16 12:25:35,6.2,42.1,6.1,54.4,0.178147268408551,4.28124772734185,1.19651585524584,5.21540474920183,37.9619968526348,10.9743302804819,9.62696897648544,1.84142100479486,68.2276970386158,50.7932836649826,49.7397297019965,0.0207419935662159,-3.99463175714103,6.56348122125373,0,y,u,2023
ea230116-P47,13777,13829,14215,14309,2023-01-16 12:26:29,5.2,38.6,9.4,53.2,0.181347150259067,4.02638658005876,1.12898702298404,4.66658067521172,23.2053399316416,5.69093971382392,9.66355930849227,1.38357117223124,63.4296813989192,44.0449206923959,43.210460453313,0.0189456633356369,-4.2485300108768,7.73373182922643,0.2,y,u,2023
ea230116-P47,14311,14373,14539,14598,2023-01-16 12:27:23,6.2,16.6,5.9,28.7,0.150602409638554,4.0372063296966,1.25223684564691,4.42861115788067,28.7981088902192,7.19242355654119,10.2952847842628,1.47035304132003,38.7365762233486,20.9589041388131,20.5425870808098,0.0198634935894547,-0.841645792088828,8.26813527526838,0,n,u,2023
ea230116-P47,14598,14649,15768,15815,2023-01-16 12:27:51,5.1,111.9,4.7,121.7,0.183199285075961,4.15569536590319,1.21026273551014,5.04673102495045,36.1810024572237,15.3894010018774,79.6898132534466,2.24933843007177,151.096468698189,136.824225528948,130.900345343512,0.0432955506419621,-3.83449318245014,9.04543306490092,0,y,u,2023
ea230116-P47,15815,15860,16837,16896,2023-01-16 12:29:53,4.5,97.7,5.9,108.1,0.174002047082907,5.16529094207125,1.06436299121796,6.34613478484216,46.2677928596834,88.091587000036,140.058149389337,3.16609863573483,122.734588859041,105.057506868899,79.7556180635648,0.240838466087992,-6.24908870232421,75.022348698808,27.5,y,u,2023
ea230116-P47,17171,17246,17907,18021,2023-01-16 12:32:09,7.5,66.1,11.4,85,0.158850226928896,6.02694971919132,1.02378496175105,7.24061745347434,29.7385746550434,20.3340301593834,44.7504195597887,2.41076308835803,93.9806392453272,68.3435621311309,65.1709409187225,0.0464216542638066,-5.87054034632926,12.2641041828513,20.5,n,u,2023
ea230116-P47,18226,18272,18503,18559,2023-01-16 12:33:54,4.6,23.1,5.6,33.3,0.12987012987013,4.62203162222933,1.05103188398959,5.54149446729695,63.6111135477211,64.5297677454235,180.490049064336,1.86037472848299,37.3063445601851,23.2115305382983,14.379647264966,0.380495515311237,-15.2979867845615,34.4806380050986,13.7,n,u,2023
ea230116-P47,18696,18759,20061,20104,2023-01-16 12:34:41,6.3,130.2,4.3,140.8,0.153609831029186,5.0580095791269,1.04907908764762,6.29400812075443,50.8967633086033,26.4427091738982,82.4221328861399,2.50804780329087,153.438579924244,138.432482318115,124.666413218543,0.0994424781601329,-5.47437445084863,16.6084624195246,44.5,y,u,2023
ea230116-P47,20549,20629,22457,22527,2023-01-16 12:37:46,8,182.8,7,197.8,0.185995623632385,5.49126227186033,1.10194426872524,6.99644417006124,30.607388752568,48.0988739460223,56.7123800580087,2.96386909087279,222.88746664109,202.870347550229,192.634462093054,0.050455305966489,-5.16015568208692,41.9765504534392,26.4,n,u,2023
ea230116-P47,22791,22889,23292,23380,2023-01-16 12:41:31,9.8,40.3,8.8,58.9,0.173697270471464,5.47414844457285,1.09188484173156,6.04552335865594,26.0115124150664,70.0917443420769,70.5894709959098,1.18118199305954,69.3504166424871,43.4018631932921,40.2152267583775,0.0734216506034022,-11.1320955075522,74.7125844923224,11.6,n,u,2023
ea230116-P47,23496,23574,24154,24229,2023-01-16 12:42:41,7.8,58,7.5,73.3,0.163793103448276,4.69163721059643,1.07413819393958,5.62703468569979,27.8099455932576,85.3933466891586,40.7301669787767,1.53417941117025,81.2911362746835,62.0647441867713,60.6291685076638,0.0231302923731939,-8.61232938264205,70.4790517680789,27.5,y,u,2023
ea230116-P47,24504,24594,25686,25776,2023-01-16 12:44:22,9,109.2,9,127.2,0.169413919413919,5.27766868178186,1.06740625596248,6.01773445381181,30.1967084178456,65.6165253411452,51.2342911846873,1.75801388514007,141.693657708625,118.195244062694,113.411903939448,0.0404698189100522,-3.4535230525407,65.3153347938595,19.3,y,u,2023
ea230116-P47,25969,26051,26611,26675,2023-01-16 12:46:48,8.2,56,6.4,70.6,0.169642857142857,5.04267282179127,1.03693949238849,5.62620286696394,27.6138543743331,74.6461804034246,25.874989382005,1.33343700810786,77.0556497245928,57.0478387942732,56.1856489682548,0.0151134529237414,-11.8940217767975,76.7735310408086,20.4,n,u,2023
ea230116-P47,26879,26971,27875,27949,2023-01-16 12:48:19,9.2,90.4,7.4,107,0.154867256637168,5.61360868793629,1.07863642001332,6.55855314488714,41.6153588072487,88.6087552891793,152.333428788094,2.39784547596392,120.53875521629,98.1243372123131,85.3535488249376,0.130149041004407,-3.6198595309002,61.4092038858492,9.4,y,u,2023
ea230116-P47,28043,28133,28808,28904,2023-01-16 12:50:16,9,67.5,9.6,86.1,0.185185185185185,6.05799952319578,1.08314508736161,6.86031075830906,29.406513942437,156.842425344952,76.7240065031105,1.86543086693616,96.1252560727036,72.9089563347146,69.1251044527792,0.0518983136250681,-5.29223329170068,79.2382461443264,2.9,n,u,2023
ea230116-P47,28933,29001,29282,29341,2023-01-16 12:51:45,6.8,28.1,5.9,40.8,0.124555160142349,4.79829609860886,1.05263948199321,5.58208036840921,39.6220784733718,7.48827197037726,13.7806718323088,1.43472587145709,47.3371272680433,30.1079162723607,29.0861756830628,0.0339359449539812,-3.52921203044193,8.14513058259603,0,y,u,2023
ea230116-P47,29341,29410,30065,30138,2023-01-16 12:52:26,6.9,65.5,7.3,79.7,0.16030534351145,4.45215439140403,1.09782280589339,5.26226722430762,30.1796290516725,10.3560129050974,19.9920588019871,1.49902584334503,90.9865387755076,72.5717039175939,70.8613372439057,0.0235679552960517,-4.57357947556636,6.20090502717879,2,n,u,2023
ea230116-P47,30158,30228,30927,30988,2023-01-16 12:53:47,7,69.9,6.1,83,0.1931330472103,4.72451871621292,1.11857887385959,5.36349313647398,31.0014660990577,6.26492543634233,11.5060029547055,1.26485767616459,96.838942523826,78.8056457663754,77.4518592119504,0.0171788016107166,-4.11222861600179,4.87514441962817,0,y,u,2023
ea230116-P47,30988,31063,31266,31327,2023-01-16 12:55:10,7.5,20.3,6.1,33.9,0.172413793103448,4.46575530173807,1.12298572473904,5.14903803527281,31.9239161093117,9.91621123350892,16.6852730147984,1.54928700568089,41.0887356562007,23.1431161192316,22.4392811928977,0.0304122799500212,-4.64229321523702,6.28314627159798,0,y,u,2023
ea230116-P47,31327,31387,31523,31568,2023-01-16 12:55:44,6,13.6,4.5,24.1,0.110294117647059,4.22650510764885,1.07489869160231,4.69667338943535,43.3910137209775,4.20688658034934,7.2414030160669,1.27837495806554,29.2108459738774,14.8384048040477,14.3188846874757,0.0350118576378455,-1.19061948532474,3.67552571072096,16.2,n,u,2023
ea230116-P47,31730,31832,33578,33675,2023-01-16 12:56:25,10.2,174.6,9.7,194.5,0.160366552119129,6.36557890047411,1.04153998859696,7.49390955858169,34.2159387804095,157.300539300685,277.236005491356,2.93159635931491,206.043424523853,181.423720960543,40.5775707639161,0.776338118581853,-8.95436780314688,79.9755516818749,11.8,y,u,2023
ea230116-P47,33793,33851,34451,34533,2023-01-16 12:59:51,5.8,60,8.2,74,0.183333333333333,5.76349826153268,1.11140856241764,6.59197818714194,30.0396137145316,8.10092896858071,29.7204590037891,1.83138591336664,86.8855153998457,67.3619923318687,65.4813047323317,0.0279191207746862,-3.64073925461625,5.61225817021024,20.5,n,u,2023
ea230116-P47,34738,34801,35364,35441,2023-01-16 13:01:25,6.3,56.3,7.7,70.3,0.186500888099467,4.91832791625836,1.05772916306173,5.40874631494639,28.4317098106163,27.5516178373202,36.780430870941,1.34314227278513,79.6749965294972,60.4499142996277,57.711249418213,0.0453046941942735,-5.34609160410818,22.0267327234737,9.7,n,u,2023
ea230116-P47,35538,35625,36273,36364,2023-01-16 13:02:45,8.7,64.8,9.1,82.6,0.169753086419753,5.19476882411187,1.07748488560708,6.30870192595411,29.3918794364479,68.2222033134643,38.6506309384172,2.00083833182225,94.8490829177293,69.4262539121585,67.4771810001308,0.0280740037406283,-10.059810250064,65.1421034557546,16.1,y,u,2023
ea230116-P47,36525,36584,37184,37247,2023-01-16 13:04:24,5.9,60,6.3,72.2,0.191666666666667,5.09801964371675,1.10373465520238,5.79820198596451,29.7490663672769,37.7140917002545,43.0326060623335,1.61018907711119,83.4478409425358,66.7943544770119,63.5603107342163,0.0484179204682435,-4.75997242940779,40.1065029358602,2.7,n,u,2023
ea230116-P47,37274,37334,37457,37500,2023-01-16 13:05:39,6,12.3,4.3,22.6,0.121951219512195,5.02812555898662,1.22754142261661,5.61203991283763,32.6857211837965,6.92219966488722,76.6578507687082,2.4672171341152,29.9567176318627,15.3128824044911,13.5383956444949,0.115881955671241,0.0302064051968997,7.74260091426772,17.6,y,u,2023
ea230116-P47,37676,37754,38619,38675,2023-01-16 13:06:19,7.8,86.5,5.6,99.9,0.167630057803468,4.40520663579226,1.10265312050182,5.41009435502403,31.7675240523924,9.03772563901983,37.9674667639451,1.893871060023,114.505817262802,96.5570046018649,92.9406415298171,0.0374531406287839,-3.58336663590058,8.99496953544646,1.7,n,u,2023
ea230116-P47,38692,38738,39254,39316,2023-01-16 13:08:01,4.6,51.6,6.2,62.4,0.174418604651163,4.52606875117493,1.16512504254538,5.11014276789665,23.3063722936264,9.60172589184348,20.4213486516777,1.27293501036329,76.3618411322151,60.7498675100834,59.3918707008254,0.0223539056942397,-3.76774450008248,6.35718301604622,0,n,u,2023
ea230116-P47,39316,39378,39972,40032,2023-01-16 13:09:03,6.2,59.4,6,71.6,0.185185185185185,4.41189149954518,1.15859133238732,4.84295477288476,21.0166888839283,6.07065353471724,22.1566877687413,1.00399538462969,86.5871232177109,69.2332302376245,67.8718293352507,0.0196639806881916,-4.22606758133661,5.02181410687594,0,n,u,2023
ea230116-P47,40032,40107,40429,40484,2023-01-16 13:10:15,7.5,32.2,5.5,45.2,0.186335403726708,5.07406672769996,1.13571966930923,5.88893509683584,29.8708794057547,5.79866556229394,16.33344817742,1.48893024197502,55.2940108201026,37.0298031958012,36.239246401724,0.0213492032322457,-2.2915279440433,4.40440836825659,0,n,u,2023
ea230116-P47,40484,40556,41696,41775,2023-01-16 13:11:00,7.2,114,7.9,129.1,0.175438596491228,4.90688875972515,1.15879465231312,5.75668291507264,28.138825891676,7.34038692466233,12.5162808869101,1.65015593994877,153.466841996506,133.525324546704,130.814651193454,0.0203008183088326,-4.06260779675758,6.47962834303672,9.9,n,u,2023
ea230116-P47,41874,41934,41977,42044,2023-01-16 13:13:19,6,4.3,6.7,17,0.116279069767442,4.19760877283275,1.09900211964515,4.56305519663089,9.07552307946193,7.57858197912681,7.22665008490208,0.457916147752301,23.0242378543786,4.71362762646084,4.70633029462196,0.00154813498586959,-7.03680052935598,7.29966612109828,29.3,y,u,2023
ea230116-P47,42337,42422,42875,42931,2023-01-16 13:14:05,8.5,45.3,5.6,59.4,0.187637969094923,4.30786808040451,1.16891621927404,5.0060290406082,35.1406175601662,12.2837227382241,45.4498239457384,1.86213832868516,73.423164807877,53.2986474233486,51.3786856701709,0.0360227106314262,-5.66449192300413,6.93393193713316,1.8,y,u,2023
ea230116-P47,42949,43024,43326,43411,2023-01-16 13:15:06,7.5,30.2,8.5,46.2,0.198675496688742,4.96955147397781,1.18522113054094,5.83354380283733,23.7078813920157,7.88959398643345,10.2970540766742,1.60359321499209,58.391823241824,36.2019677547653,35.491873917802,0.0196147856319171,-3.62685969524582,6.26458292412591,76.1,n,u,2023
ea230116-P47,44172,44245,44353,44393,2023-01-16 13:17:09,7.3,10.8,4,22.1,0.185185185185185,4.22755612858387,1.27919711985205,5.05658788605527,39.3796215690204,3.97150855772135,9.30422692224897,1.95016250723835,31.6195970422198,14.0328295613333,13.5701350587804,0.0329722883421771,-0.371757273115448,3.13857026024805,2,n,u,2023
